baseline,seed,n_overlap_rows,n_paired_days,ours_mean_daily_return,baseline_mean_daily_return,delta_mean_daily_return,delta_mean_daily_return_ci_low,delta_mean_daily_return_ci_high,delta_mean_daily_return_p_le_0,ours_sharpe,baseline_sharpe,delta_sharpe,delta_sharpe_ci_low,delta_sharpe_ci_high,delta_sharpe_p_le_0
B1_FinBERT_LR,11,635,33,-0.0018419202637685566,-0.001964643030736456,0.00012272276696789959,-0.0025820954057872683,0.002500616057098824,0.444,-4.175284961284967,-5.701305539347869,1.5260205780629024,-3.5389815272585037,7.97400139029155,0.294
B1_FinBERT_LR,22,635,33,-0.0018419202637685566,-0.001964643030736456,0.00012272276696789959,-0.0021750990930659857,0.002839798413458672,0.442,-4.175284961284967,-5.701305539347869,1.5260205780629024,-3.3478167877116656,7.884733619919346,0.26
B1_FinBERT_LR,33,635,33,-0.0018419202637685566,-0.001964643030736456,0.00012272276696789959,-0.0025798848173670588,0.002488944407465744,0.45,-4.175284961284967,-5.701305539347869,1.5260205780629024,-3.9557499922518784,8.134825679030996,0.278
B2_Technical_LightGBM,11,1048,33,-0.0032000788785027153,-0.002719082082872468,-0.0004809967956302475,-0.0035436994932852134,0.0019305747697199603,0.636,-10.670861234768457,-6.909451938199355,-3.761409296569102,-13.219621126704624,3.3186630180566086,0.816
B2_Technical_LightGBM,22,1101,33,-0.003077149828889285,-0.0039030133948067,0.000825863565917415,-0.001326591070578207,0.00270807716190024,0.214,-9.713767261493317,-10.998880648017634,1.2851133865243174,-8.86469827131196,11.176407054214225,0.444
B2_Technical_LightGBM,33,1084,33,-0.0024048188705826693,-0.002577627576885376,0.00017280870630270685,-0.0013612662321489013,0.001732266496094454,0.46,-8.076799049368999,-8.706881360830794,0.6300823114617948,-4.241685403782538,5.959042195138199,0.45
B3_News_Technical_Late_Fusion,11,635,33,-0.0018419202637685566,-0.003676168473292148,0.0018342482095235915,-2.0026352024443464e-05,0.003872184907230204,0.03,-4.175284961284967,-9.909831502629059,5.734546541344092,0.18258545821225813,12.05893564624882,0.02
B3_News_Technical_Late_Fusion,22,635,33,-0.0018419202637685566,-0.0031888859575512816,0.001346965693782725,-0.0014063987338178918,0.004106109378667044,0.176,-4.175284961284967,-7.667461139129645,3.4921761778446783,-3.2998199830951833,11.363000693522538,0.15
B3_News_Technical_Late_Fusion,33,635,33,-0.0018419202637685566,-0.004225983802788474,0.002384063539019917,-3.7905118255148136e-05,0.004998459831910473,0.026,-4.175284961284967,-9.589797196050247,5.41451223476528,-0.692384101330284,16.193164811785667,0.048
B4_DLinear,11,1048,33,-0.0032000788785027153,-0.0009200069982524237,-0.0022800718802502918,-0.0049731070138842185,0.0004372000461227469,0.952,-10.670861234768457,-2.9636421925340017,-7.707219042234456,-19.2593732544416,2.6041685080234727,0.934
B4_DLinear,22,1101,33,-0.003077149828889285,-0.003500083182604914,0.00042293335371562917,-0.0023565561635785974,0.0032253812605761477,0.382,-9.713767261493317,-9.03672149456487,-0.6770457669284458,-12.289949568224609,7.896473751509646,0.568
B4_DLinear,33,1084,33,-0.0024048188705826693,-0.0020971786105379924,-0.00030764026004467685,-0.0038947137136415223,0.004017939343523028,0.592,-8.076799049368999,-5.253451405358736,-2.823347644010263,-13.30141936558328,7.013854059222184,0.72
