date,gross_return,positions,turnover,short_exposure,cost,borrow_cost,portfolio_return
2023-01-03,-0.0024313545817302765,6.265883102173425,6.265883102173425,3.3135021497924724,0.0031329415510867125,0.0,-0.005564296132816989
2023-01-04,0.0014176258110427404,6.934126984126984,9.173311037020714,2.823015873015873,0.004586655518510357,0.0,-0.003169029707467617
2023-01-05,0.00465106887446363,6.305303030303031,8.710642135642136,1.6084415584415586,0.004355321067821068,0.0,0.0002957478066425625
2023-01-06,-0.0008845098422089923,6.873012828319734,6.128315858622765,2.5335403726708075,0.0030641579293113823,0.0,-0.003948667771520375
2023-01-09,0.004125528355395768,8.283641796799692,7.4397373318863425,1.9573260073260073,0.003719868665943171,0.0,0.00040565968945259706
2023-01-10,0.002571352250674428,9.416666666666666,9.93364179679969,2.0,0.004966820898399845,0.0,-0.002395468647725417
2023-01-11,0.0035554577617811474,10.588690476190475,10.200595238095238,0.8125,0.005100297619047619,0.0,-0.0015448398572664715
2023-01-12,0.00032455450713653975,8.45,6.288690476190476,1.0333333333333332,0.003144345238095238,0.0,-0.0028197907309586985
2023-01-13,0.0004793227269633671,9.95570818070818,7.522374847374848,0.0,0.003761187423687424,0.0,-0.003281864696724057
2023-01-17,-0.005130444457884337,8.891214351745662,6.700391264859955,0.5,0.0033501956324299776,0.0,-0.008480640090314314
2023-01-18,-0.0033149079546966657,7.067182327476445,6.956782190755526,0.5,0.003478391095377763,0.0,-0.006793299050074428
2023-01-19,0.009079063565873409,7.8134365634365635,4.416516326810444,0.7575757575757576,0.002208258163405222,0.0,0.006870805402468187
2023-01-20,0.006404814302259718,6.046881910659001,6.223921537698628,0.9157894736842105,0.003111960768849314,0.0,0.003292853533410404
2023-01-23,-0.0011887290499524817,8.891909432749616,6.981529065456684,0.7333333333333333,0.003490764532728342,0.0,-0.004679493582680824
2023-01-24,7.37601358700339e-05,10.86843137254902,6.189220352497816,0.3333333333333333,0.003094610176248908,0.0,-0.003020850040378874
2023-01-25,0.00790649479402317,6.22096816227251,7.25741992023322,0.5787878787878789,0.00362870996011661,0.0,0.00427778483390656
2023-01-26,0.00015132733675544263,6.459168725928894,8.510039601975086,2.088405797101449,0.004255019800987543,0.0,-0.004103692464232101
2023-01-27,-0.007849167987684669,7.74647676884519,6.84983392283348,0.4,0.00342491696141674,0.0,-0.011274084949101409
2023-01-30,0.004340498039008551,6.349034119475296,5.058810170737416,0.34615384615384615,0.002529405085368708,0.0,0.0018110929536398427
2023-01-31,0.0067852949681737025,6.842733990147783,7.832104244076861,1.4677339901477833,0.00391605212203843,0.0,0.0028692428461352722
2023-02-01,0.0033115418363745654,5.916539902928288,6.071930534680082,1.594871794871795,0.003035965267340041,0.0,0.0002755765690345244
2023-02-02,-0.004291527752531721,6.235742498927315,3.584255628969495,0.7593984962406015,0.0017921278144847476,0.0,-0.006083655567016469
2023-02-03,-0.0018322578616780886,7.351569264069264,7.586907095200607,0.7916666666666666,0.0037934535476003032,0.0,-0.005625711409278392
2023-02-06,0.003695868925410927,8.826118680291192,6.087861104533615,1.2000000000000002,0.0030439305522668076,0.0,0.0006519383731441192
2023-02-07,-0.003938531675073332,10.244421101774043,6.628476290001742,2.461904761904762,0.003314238145000871,0.0,-0.007252769820074202
2023-02-08,0.0003982183963616318,8.869444444444445,6.24327731092437,3.033333333333333,0.003121638655462185,0.0,-0.002723420259100553
2023-02-09,-0.0045236462815178725,9.022619047619047,8.776984126984127,3.7928571428571427,0.004388492063492064,0.0,-0.008912138345009937
2023-02-10,0.0009390952671609583,7.707614320545355,8.193725431656466,2.566666666666667,0.004096862715828233,0.0,-0.003157767448667275
2023-02-13,0.001278409155793791,6.512846956964604,7.831130999944388,1.3857142857142857,0.003915565499972194,0.0,-0.002637156344178403
2023-02-14,0.0007642000004214921,6.057151835093012,5.1159626321391025,1.2083333333333333,0.002557981316069551,0.0,-0.001793781315648059
2023-02-15,-0.005473811990356278,8.466130188293333,6.965817283104267,2.2,0.0034829086415521333,0.0,-0.008956720631908412
2023-02-16,-0.0009273159491078818,5.466666666666667,5.792311370148226,0.3333333333333333,0.002896155685074113,0.0,-0.003823471634181995
2023-02-17,0.0003997630628746582,4.25,3.6166666666666663,1.3333333333333333,0.0018083333333333332,0.0,-0.001408570270458675
