date,gross_return,positions,turnover,short_exposure,cost,borrow_cost,daily_return_net
2023-01-03,0.0190463717431385,2.0,2.0,2.0,0.0016,0.0002,0.0174463717431385
2023-01-04,-0.0145740123279662,2.0,2.0,2.0,0.0016,0.0002,-0.0161740123279662
2023-01-05,0.0031758560891641,1.0,1.0,1.0,0.0008,0.0001,0.0023758560891641
2023-01-06,-0.0434957588350436,4.0,4.0,3.0,0.0031,0.0003,-0.0465957588350436
2023-01-09,0.0128228947128263,2.0,1.0,2.0,0.0009,0.0002,0.0119228947128263
2023-01-10,0.0065738840499295,1.0,1.0,1.0,0.0008,0.0001,0.0057738840499295
2023-01-13,-0.0412664643258567,2.0,0.0,2.0,0.0002,0.0002,-0.0414664643258567
2023-01-17,0.0124184392981361,3.0,1.0,2.0,0.0009,0.0002,0.0115184392981361
2023-01-18,0.0307358126526308,1.0,0.0,1.0,0.0001,0.0001,0.0306358126526308
2023-01-19,0.0168291416394895,1.0,2.0,0.0,0.0014,0.0,0.0154291416394895
2023-01-20,0.0723768805179292,1.0,2.0,0.0,0.0014,0.0,0.0709768805179292
2023-01-23,-0.0101650339841477,1.0,0.0,1.0,0.0001,0.0001,-0.0102650339841477
2023-01-25,0.0137309865519187,1.0,0.0,1.0,0.0001,0.0001,0.0136309865519187
2023-01-26,-0.0659604551087958,1.0,1.0,0.0,0.0007,0.0,-0.0666604551087958
2023-01-27,0.014381933245588,1.0,1.0,0.0,0.0007,0.0,0.013681933245588
2023-01-31,0.0301113451287476,1.0,2.0,0.0,0.0014,0.0,0.0287113451287476
2023-02-01,0.0345447741210717,1.0,0.0,0.0,0.0,0.0,0.0345447741210717
2023-02-02,-0.0031792247250227,1.0,1.0,0.0,0.0007,0.0,-0.0038792247250227
2023-02-03,0.0034631125055972,2.0,0.0,0.0,0.0,0.0,0.0034631125055972
2023-02-07,0.0325881512369221,1.0,0.0,0.0,0.0,0.0,0.0325881512369221
2023-02-09,-0.0500633718362336,1.0,0.0,0.0,0.0,0.0,-0.0500633718362336
2023-02-10,-0.0148229213192201,1.0,2.0,1.0,0.0015,0.0001,-0.0163229213192201
2023-02-13,-0.0145018348175095,1.0,2.0,0.0,0.0014,0.0,-0.0159018348175094
2023-02-15,-0.0385607492035487,1.0,0.0,0.0,0.0,0.0,-0.0385607492035487
2023-02-16,0.0135318427199693,2.0,2.0,0.0,0.0014,0.0,0.0121318427199693
2023-02-17,0.0344353266382694,2.0,2.0,2.0,0.0016,0.0002,0.0328353266382694
2023-02-22,0.0005363494911985,1.0,0.0,1.0,0.0001,0.0001,0.0004363494911985
2023-02-23,-0.001949884598325,2.0,4.0,1.0,0.0029,0.0001,-0.004849884598325
2023-02-28,0.0097309573356198,2.0,2.0,2.0,0.0016,0.0002,0.0081309573356198
2023-03-01,-0.0630762564786704,3.0,3.0,2.0,0.0023,0.0002,-0.0653762564786704
